FAC_ID,FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS
33672,830,WUMY,TN,MEMPHIS,3000,,,,35.117,-90.0165,LICEN,"KBOA, KOTC, WUMY, WGUE",Shelby,47157
14529,990,KTMS,CA,SANTA BARBARA,5000,500,,,34.4708,-119.6768,LICEN,"KSSM, KKJZ, KQSB",Santa Barbara,06083
25973,1210,WSBI,TN,STATIC,10000,,2500,,36.6228,-85.0874,LICEN,,Clinton,21053
36891,1580,WPGY,GA,ELLIJAY,500,,,,34.6992,-84.4782,LICEN,"WLEJ, WLJA",Gilmer,13123
9415,1330,KVOL,LA,LAFAYETTE,5000,1000,,,30.2416,-92.0587,LICEN,"KVOL, KRKR",Lafayette,22055
50004,1400,KBCH,OR,LINCOLN CITY,1000,1000,,,44.9907,-123.9804,LICEN,,Lincoln,41041
2128,1570,WABL,LA,AMITE,500,15,,,30.7088,-90.5254,LICEN,,Tangipahoa,22105
74003,810,WSJC,MS,MAGEE,50000,500,,,31.8668,-89.6931,LICEN,,Simpson,28127
18134,1360,WLWE,AL,ROANOKE,1000,54,,,33.184,-85.4058,LICEN,WELR,Randolph,01111
17748,1580,WDQN,IL,DUQUOIN,170,7,,,38.0323,-89.2418,LICEN,,Perry,17145
60773,1190,KVSV,KS,BELOIT,2300,90,,,39.4481,-98.0795,LICEN,KRZJ,Mitchell,20123
4926,1450,WZGX,AL,BESSEMER,1000,1000,,,33.4232,-86.9547,LICEN,"WYAM, WSMQ",Jefferson,01073
5349,540,WWCS,PA,CANONSBURG,5000,500,,,40.2895,-80.1851,LICEN,WARO,Washington,42125
19879,1050,WJOK,WI,KAUKAUNA,1000,500,,,44.2475,-88.3001,LICEN,WSGC,Outagamie,55087
6663,1270,WQKR,TN,PORTLAND,1000,43,,,36.6112,-86.5811,LICEN,"WQSI, WHRP",Robertson,47147
14656,1300,KLAR,TX,LAREDO,1000,80,,,27.5295,-99.5212,LICEN,,Webb,48479
10338,1340,KSGT,WY,JACKSON,1000,1000,,,43.4624,-110.7944,LICEN,,Teton,56039
62187,1370,WSPD,OH,TOLEDO,5000,5000,,,41.6009,-83.5363,LICEN,,Wood,39173
51263,1410,KTNK,CA,LOMPOC,500,77,,,34.663,-120.3838,LICEN,"KLVV, KLLB, KTME, KINF, KUHL, KSMA",Santa Barbara,06083
73919,1460,WRAD,VA,RADFORD,5000,37,,,37.1429,-80.577,LICEN,,Pulaski,51155
33467,730,KWRE,MO,WARRENTON,1000,120,,,38.8223,-91.1376,LICEN,,Warren,29219
61947,920,KXLY,WA,SPOKANE,25000,5400,,,47.6083,-117.3734,LICEN,,Spokane,53063
73183,1060,WKNG,GA,TALLAPOOSA,15000,,5000,,33.7351,-85.2522,LICEN,,Haralson,13143
20420,1230,WSOO,MI,SAULT ST. MARIE,1000,1000,,,46.4403,-84.377,LICEN,,Chippewa,26033
68761,1400,WZAZ,FL,JACKSONVILLE,1000,1000,,,30.3182,-81.5397,LICEN,WERD,Duval,12031
129638,1440,KHLY,ID,HAILEY,270,107,,,43.5496,-114.3223,LICEN,"KBET, KPTO, KBET, KPTO",Blaine,16013
22648,1490,WABJ,MI,ADRIAN,1000,1000,,,41.9007,-84.0135,LICEN,,Lenawee,26091
2766,900,KPYN,TX,ATLANTA,1000,33,,,33.0829,-94.183,LICEN,"KALT, KALT",Cass,48067
11960,910,WRNL,VA,RICHMOND,5000,1500,,,37.614,-77.5144,LICEN,"WRNL, WRVH",Henrico,51087
21430,1400,KSUN,AZ,PHOENIX,1000,1000,,,33.3898,-111.9985,LICEN,KXIV,Maricopa,04013
35065,1160,WCVX,KY,FLORENCE,5000,990,,,38.9692,-84.6822,LICEN,"WMLX, WBND, WKYN, WBOB, WDJO, WQRT",Boone,21015
59660,900,WSWN,FL,BELLE GLADE,1000,22,,,26.7123,-80.6828,LICEN,,Palm Beach,12099
72369,1490,KCUZ,AZ,CLIFTON,1000,1000,,,33.0417,-109.2951,LICEN,,Greenlee,04011
33073,1140,KLTK,AR,CENTERTON,5000,,,,36.364,-94.3483,LICEN,KCTE,Benton,05007
3710,1390,KULP,TX,EL CAMPO,500,180,,,29.2097,-96.2641,LICEN,,Wharton,48481
35420,1490,KORN,SD,MITCHELL,1000,1000,,,43.7039,-97.9995,LICEN,,Davison,46035
66186,820,WVSG,OH,COLUMBUS,6500,790,,,39.9092,-83.0566,LICEN,WOSU,Franklin,39049
9963,1370,WLLM,IL,LINCOLN,1000,35,,,40.1401,-89.3862,LICEN,"WPRC, WNCY, WPRC, WVAX",Logan,17107
72905,1580,KDOM,MN,WINDOM,1000,2,,,43.8613,-95.0975,LICEN,,Cottonwood,27033
25527,1230,WFOA,MD,BALTIMORE,600,600,,,39.3018,-76.5689,LICEN,"WITH, WRBS",Baltimore,24510
73141,1270,WJJC,GA,COMMERCE,1000,173,,,34.2159,-83.4357,LICEN,,Jackson,13157
1060,1440,WVGG,MS,LUCEDALE,5000,,,,30.933,-88.6059,LICEN,WRBE,George,28039
48333,1450,WFMB,IL,SPRINGFIELD,1000,1000,,,39.7601,-89.6515,LICEN,WCVS,Sangamon,17167
36069,860,WNOV,WI,MILWAUKEE,250,5,,,43.0722,-87.952,LICEN,,Milwaukee,55079
69560,1350,WGPL,VA,PORTSMOUTH,5000,5000,,,36.8835,-76.3724,LICEN,"WRAP, WBSK, WSVY",Portsmouth,51740
27691,1370,WQLL,MD,PIKESVILLE,50000,,,,39.4398,-76.3552,LICEN,"WEBB, WHLP, WWLG, WVIE",Harford,24025
12919,1420,WAMV,VA,AMHERST,2200,,,,37.5399,-79.0525,LICEN,"WAMV, WWWL",Amherst,51009
54615,1450,WHKP,NC,HENDERSONVILLE,970,970,,,35.339,-82.4554,LICEN,,Henderson,37089
3712,740,WRPQ,WI,BARABOO,250,6,,,43.4552,-89.7537,LICEN,WBOO,Sauk,55111
71241,1050,WBUT,PA,BUTLER,500,62,,,40.8976,-79.8889,LICEN,,Butler,42019
3038,1290,WLYV,OH,BELLAIRE,1000,33,,,40.0359,-80.7709,LICEN,"WOMP, WLEJ, WYLY, WLIE",Belmont,39013
27190,660,WLOY,VA,RURAL RETREAT,550,,,,36.9215,-81.2426,LICEN,"WCRR, WJRK",Wythe,51197
32299,1050,KJBN,AR,LITTLE ROCK,2500,19,,,34.6094,-92.2374,LICEN,"KSOH, KWNN",Pulaski,05119
33253,1090,KAAY,AR,LITTLE ROCK,50000,3400,,,34.6004,-92.2241,LICEN,,Pulaski,05119
9634,1210,WPHT,PA,PHILADELPHIA,50000,50000,,,39.9796,-74.9866,LICEN,"WCAU, WOGL, WGMP, WPTS",Burlington,34005
64839,930,WTAD,IL,QUINCY,5000,1000,,,39.89,-91.4237,LICEN,,Adams,17001
39383,1420,WIMS,IN,MICHIGAN CITY,5000,5000,,,41.6778,-86.9361,LICEN,,Porter,18127
68600,1360,WCGX,VA,GALAX,5000,31,,,36.6635,-80.9143,LICEN,"WBOB, WWWJ",Galax,51640
87123,1660,WWRU,NJ,JERSEY CITY,10000,10000,,,40.8204,-74.0674,LICEN,WBAH,Bergen,34003
26923,580,KMJ,CA,FRESNO,50000,50000,,,36.6591,-119.3473,LICEN,,Fresno,06019
68309,1130,WALQ,AL,CARRVILLE,25000,,1000,,32.4549,-85.9325,LICEN,"WACQ, WSFU, WACQ",Elmore,01051
72957,1430,WEEF,IL,DEERFIELD,1600,750,,,42.1395,-87.8853,LICEN,WQVQ,Cook,17031
26610,1530,WZTE,PA,UNION CITY,4800,,250,,41.9409,-79.8448,LICEN,"WEHN, WFLP, WEYZ, WYNE, WMCE",Erie,42049
6447,1580,WPJK,SC,ORANGEBURG,3300,22,,,33.4988,-80.8423,LICEN,"WORG, WBLO",Orangeburg,45075
16570,1340,KZNG,AR,HOT SPRINGS,1000,1000,,,34.4954,-93.0243,LICEN,"KZNG, KWBO",Garland,05051
12495,1400,WNZE,TN,CLARKSVILLE,380,380,,,36.542,-87.3256,LICEN,"WJZM, WVWB, WWNZ, WVWF, WBQL",Montgomery,47125
39517,1440,WEBR,NY,NIAGARA FALLS,5000,400,,,43.0822,-79.0344,LICEN,WJJL,Niagara,36063
29740,760,KDFD,CO,THORNTON,50000,1000,,,40.0091,-104.9397,LICEN,"KJIM, KRZN, KTLK, KKZN, KDSP",Weld,08123
66955,1340,WBAC,TN,CLEVELAND,1000,1000,,,35.1651,-84.8536,LICEN,,Bradley,47011
7070,1470,WNAU,MS,NEW ALBANY,2500,500,,,34.4968,-89.0145,LICEN,"WNAU, WKXC",Union,28145
7090,1170,WCLN,NC,CLINTON,5000,,1000,,35.0227,-78.3492,LICEN,,Sampson,37163
65928,1240,WATT,MI,CADILLAC,1000,1000,,,44.2242,-85.4001,LICEN,,Wexford,26165
21766,1360,WHNR,FL,CYPRESS GARDENS,5000,2500,,,28.0214,-81.7004,LICEN,"WZNG, WYXY",Polk,12105
53150,1410,KGSO,KS,WICHITA,5000,1000,,,37.7347,-97.352,LICEN,"KEYN, KQAM, KMYR",Sedgwick,20173
71354,1520,WDSL,NC,MOCKSVILLE,5000,,1000,,35.8807,-80.5403,LICEN,,Davie,37059
43535,1560,KLTI,MO,MACON,1000,41,,,39.7095,-92.4641,LICEN,,Macon,29121
19557,610,KRTA,OR,MEDFORD,2500,5000,,,42.3874,-122.7709,LICEN,KYJC,Jackson,41029
29733,700,WLW,OH,CINCINNATI,50000,50000,,,39.3531,-84.3249,LICEN,,Warren,39165
4041,730,KULE,WA,EPHRATA,1000,29,,,47.3168,-119.5639,LICEN,"KULE, KTRQ",Grant,53025
57064,1370,WOCA,FL,OCALA,5000,33,,,29.2014,-82.1517,LICEN,WWKE,Marion,12083
56104,1400,WWWS,NY,BUFFALO,745,745,,,42.9262,-78.8409,LICEN,"WGKT, WXBX",Erie,36029
49770,900,KTIS,MN,MINNEAPOLIS,50000,500,,,44.99,-92.9813,LICEN,,Washington,27163
68147,1240,KLIK,MO,JEFFERSON CITY,1000,1000,,,38.5639,-92.1894,LICSL,KWOS,Cole,29051
